Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
Un,NW_019211454.1,75865,89990,-,111255390,LOC111255390,-,XP_022673054.1,408,uncharacterized protein LOC111255390
Un,NW_019211454.1,75865,89990,-,111255390,LOC111255390,-,XP_022673055.1,408,uncharacterized protein LOC111255390
Un,NW_019211454.1,98996,106690,+,111249091,LOC111249091,-,XP_022658190.1,162,chromobox protein homolog 1-like
Un,NW_019211454.1,115170,131311,-,111255382,LOC111255382,-,XP_022673038.1,829,protein phosphatase 1 regulatory subunit 12C-like isoform X2
Un,NW_019211454.1,115170,131311,-,111255382,LOC111255382,-,XP_022673035.1,832,protein phosphatase 1 regulatory subunit 12A-like isoform X1
Un,NW_019211454.1,115170,131311,-,111255382,LOC111255382,-,XP_022673036.1,832,protein phosphatase 1 regulatory subunit 12A-like isoform X1
Un,NW_019211454.1,115170,131311,-,111255382,LOC111255382,-,XP_022673037.1,832,protein phosphatase 1 regulatory subunit 12A-like isoform X1
Un,NW_019211454.1,144609,166401,+,111255384,LOC111255384,-,XP_022673043.1,526,protein LCHN-like
Un,NW_019211454.1,177426,188652,+,111255383,LOC111255383,-,XP_022673039.1,659,fibroblast growth factor receptor 4-like
Un,NW_019211454.1,177426,188652,+,111255383,LOC111255383,-,XP_022673040.1,659,fibroblast growth factor receptor 4-like
Un,NW_019211454.1,177426,188652,+,111255383,LOC111255383,-,XP_022673041.1,659,fibroblast growth factor receptor 4-like
Un,NW_019211454.1,194060,213676,+,111255386,LOC111255386,-,XP_022673046.1,197,uncharacterized protein LOC111255386 isoform X2
Un,NW_019211454.1,194060,206269,+,111255386,LOC111255386,-,XP_022673045.1,227,uncharacterized protein LOC111255386 isoform X1
Un,NW_019211454.1,194060,205685,+,111255386,LOC111255386,-,XP_022673047.1,191,uncharacterized protein LOC111255386 isoform X3
Un,NW_019211454.1,207244,208002,+,111255385,LOC111255385,-,XP_022673044.1,252,zinc finger protein 512B-like
Un,NW_019211454.1,219716,220384,-,111242957,LOC111242957,-,XP_022643656.1,222,zinc finger protein 512B-like
Un,NW_019211454.1,229359,232828,-,111242896,LOC111242896,-,XP_022643562.1,121,60S ribosomal protein L35-like isoform X1
Un,NW_019211454.1,229359,231194,-,111242896,LOC111242896,-,XP_022643563.1,112,60S ribosomal protein L35-like isoform X2
Un,NW_019211454.1,277552,278472,-,111251517,LOC111251517,-,XP_022663898.1,245,neurogenic differentiation factor 1-like
Un,NW_019211454.1,305383,306348,+,111254900,LOC111254900,-,XP_022671992.1,321,retinol dehydrogenase 14-like
Un,NW_019211454.1,342827,355103,-,111242987,LOC111242987,-,XP_022643717.1,973,uncharacterized protein LOC111242987
Un,NW_019211454.1,380748,382094,-,111252109,LOC111252109,-,XP_022665295.1,169,uncharacterized protein LOC111252109
Un,NW_019211454.1,391147,399415,-,111251221,LOC111251221,-,XP_022663345.1,311,serine/threonine-protein phosphatase 2A catalytic subunit beta isoform
Un,NW_019211454.1,400756,404353,+,111245931,LOC111245931,-,XP_022650682.1,325,guanine nucleotide-binding protein subunit beta-2-like 1
Un,NW_019211454.1,415707,417818,+,111245920,LOC111245920,-,XP_022650664.1,341,very-long-chain 3-oxoacyl-CoA reductase-B-like
Un,NW_019211454.1,415707,417818,+,111245920,LOC111245920,-,XP_022650673.1,341,very-long-chain 3-oxoacyl-CoA reductase-B-like
Un,NW_019211454.1,427933,431472,-,111242935,LOC111242935,-,XP_022643622.1,128,DNA-directed RNA polymerase II subunit RPB9-like
Un,NW_019211454.1,575225,590003,+,111242977,LOC111242977,-,XP_022643695.1,413,RYamide receptor-like
Un,NW_019211454.1,628870,644798,-,111243097,LOC111243097,-,XP_022643913.1,219,motile sperm domain-containing protein 2-like isoform X4
Un,NW_019211454.1,628870,644798,-,111243097,LOC111243097,-,XP_022643910.1,271,motile sperm domain-containing protein 2-like isoform X2
Un,NW_019211454.1,628870,644798,-,111243097,LOC111243097,-,XP_022643909.1,279,motile sperm domain-containing protein 2-like isoform X1
Un,NW_019211455.1,26938776,26944394,+,111243754,LOC111243754,-,XP_022645520.1,520,nose resistant to fluoxetine protein 6-like isoform X1
Un,NW_019211455.1,26947615,26949538,-,111245171,LOC111245171,-,XP_022648871.1,331,translocation protein SEC62-like
Un,NW_019211455.1,26947615,26949538,-,111245171,LOC111245171,-,XP_022648872.1,331,translocation protein SEC62-like
Un,NW_019211455.1,26947615,26949538,-,111245171,LOC111245171,-,XP_022648873.1,331,translocation protein SEC62-like
Un,NW_019211455.1,26947615,26949538,-,111245171,LOC111245171,-,XP_022648874.1,331,translocation protein SEC62-like
Un,NW_019211455.1,26959093,26967781,+,111245408,LOC111245408,-,XP_022649479.1,1338,nuclear pore complex protein Nup160-like
Un,NW_019211455.1,26977409,26979023,-,111246038,LOC111246038,-,XP_022650975.1,346,zinc finger protein 774-like
Un,NW_019211455.1,27027873,27087633,+,111245822,LOC111245822,-,XP_022650404.1,604,Na(+)/H(+) exchange regulatory cofactor NHE-RF2-like isoform X1
Un,NW_019211455.1,27027873,27087633,+,111245822,LOC111245822,-,XP_022650405.1,547,Na(+)/H(+) exchange regulatory cofactor NHE-RF2-like isoform X2
Un,NW_019211455.1,27063048,27064460,+,111245823,LOC111245823,-,XP_022650406.1,470,DNA methyltransferase 1-associated protein 1-like
Un,NW_019211455.1,27097250,27103191,+,111244583,LOC111244583,-,XP_022647563.1,306,syntaxin-like
Un,NW_019211455.1,27113062,27116235,+,111244724,LOC111244724,-,XP_022647814.1,267,syntaxin-like isoform X1
Un,NW_019211455.1,27113062,27116235,+,111244724,LOC111244724,-,XP_022647815.1,267,syntaxin-like isoform X1
Un,NW_019211455.1,27113062,27116235,+,111244724,LOC111244724,-,XP_022647818.1,267,syntaxin-like isoform X1
Un,NW_019211455.1,27113062,27116048,+,111244724,LOC111244724,-,XP_022647819.1,260,syntaxin-1A-like isoform X2
Un,NW_019211455.1,27132978,27136384,-,111244723,LOC111244723,-,XP_022647810.1,502,ubiquitin carboxyl-terminal hydrolase 14-like isoform X1
Un,NW_019211455.1,27132978,27135639,-,111244723,LOC111244723,-,XP_022647811.1,491,ubiquitin carboxyl-terminal hydrolase 14-like isoform X2
Un,NW_019211455.1,27132978,27135639,-,111244723,LOC111244723,-,XP_022647812.1,491,ubiquitin carboxyl-terminal hydrolase 14-like isoform X2
Un,NW_019211455.1,27132978,27135639,-,111244723,LOC111244723,-,XP_022647813.1,491,ubiquitin carboxyl-terminal hydrolase 14-like isoform X2
Un,NW_019211455.1,27147341,27171766,+,111244955,LOC111244955,-,XP_022648315.1,292,cyclic AMP-responsive element-binding protein 3-like protein 2 isoform X4
Un,NW_019211455.1,27168678,27171766,+,111244955,LOC111244955,-,XP_022648306.1,409,cyclic AMP-responsive element-binding protein 3-like protein 2 isoform X1
Un,NW_019211455.1,27168678,27171766,+,111244955,LOC111244955,-,XP_022648308.1,409,cyclic AMP-responsive element-binding protein 3-like protein 2 isoform X1
Un,NW_019211455.1,27168678,27171766,+,111244955,LOC111244955,-,XP_022648309.1,409,cyclic AMP-responsive element-binding protein 3-like protein 2 isoform X1
Un,NW_019211455.1,27168678,27171766,+,111244955,LOC111244955,-,XP_022648310.1,409,cyclic AMP-responsive element-binding protein 3-like protein 2 isoform X1
Un,NW_019211455.1,27168678,27171766,+,111244955,LOC111244955,-,XP_022648311.1,409,cyclic AMP-responsive element-binding protein 3-like protein 2 isoform X1
Un,NW_019211455.1,27168678,27171766,+,111244955,LOC111244955,-,XP_022648312.1,401,cyclic AMP-responsive element-binding protein 3-like protein 2 isoform X2
Un,NW_019211455.1,27168678,27171766,+,111244955,LOC111244955,-,XP_022648314.1,347,cyclic AMP-responsive element-binding protein 3-like protein 2 isoform X3
Un,NW_019211455.1,27207561,27208502,-,111245723,LOC111245723,-,XP_022650158.1,313,forkhead box protein D3-like
Un,NW_019211455.1,27258851,27261796,-,111244263,LOC111244263,-,XP_022646882.1,608,bifunctional purine biosynthesis protein PURH-like isoform X1
Un,NW_019211455.1,27258851,27261796,-,111244263,LOC111244263,-,XP_022646883.1,608,bifunctional purine biosynthesis protein PURH-like isoform X1
Un,NW_019211455.1,27258851,27261796,-,111244263,LOC111244263,-,XP_022646884.1,608,bifunctional purine biosynthesis protein PURH-like isoform X1
Un,NW_019211455.1,27258851,27261796,-,111244263,LOC111244263,-,XP_022646885.1,608,bifunctional purine biosynthesis protein PURH-like isoform X1
Un,NW_019211455.1,27258851,27261796,-,111244263,LOC111244263,-,XP_022646886.1,608,bifunctional purine biosynthesis protein PURH-like isoform X1
Un,NW_019211455.1,27258851,27261796,-,111244263,LOC111244263,-,XP_022646887.1,608,bifunctional purine biosynthesis protein PURH-like isoform X1
Un,NW_019211455.1,27258851,27261745,-,111244263,LOC111244263,-,XP_022646889.1,591,bifunctional purine biosynthesis protein PURH-like isoform X2
Un,NW_019211454.1,34234286,34268526,+,111255606,LOC111255606,-,XP_022673467.1,339,protein Wnt-8a-like isoform X1
Un,NW_019211454.1,34234286,34268526,+,111255606,LOC111255606,-,XP_022673469.1,335,protein Wnt-8a-like isoform X3
Un,NW_019211454.1,34234286,34268526,+,111255606,LOC111255606,-,XP_022673471.1,293,protein Wnt-8b-like isoform X5
Un,NW_019211454.1,34241662,34268526,+,111255606,LOC111255606,-,XP_022673470.1,323,protein Wnt-8b-like isoform X4
Un,NW_019211454.1,34279028,34283518,+,111251283,LOC111251283,-,XP_022663461.1,627,probable protein phosphatase 2C 21
Un,NW_019211454.1,34279028,34283518,+,111251283,LOC111251283,-,XP_022663469.1,627,probable protein phosphatase 2C 21
Un,NW_019211454.1,34279028,34283518,+,111251283,LOC111251283,-,XP_022663476.1,627,probable protein phosphatase 2C 21
Un,NW_019211454.1,34279028,34283518,+,111251283,LOC111251283,-,XP_022663485.1,627,probable protein phosphatase 2C 21
Un,NW_019211454.1,34279028,34283518,+,111251283,LOC111251283,-,XP_022663495.1,627,probable protein phosphatase 2C 21
Un,NW_019211454.1,34279028,34283518,+,111251283,LOC111251283,-,XP_022663505.1,627,probable protein phosphatase 2C 21
Un,NW_019211454.1,34298997,34301831,+,111248871,LOC111248871,-,XP_022657653.1,99,vesicle-associated membrane protein 2-like
Un,NW_019211454.1,34303973,34305983,-,111248837,LOC111248837,-,XP_022657574.1,490,vacuolar fusion protein MON1 homolog A-like
Un,NW_019211454.1,34307544,34310340,+,111248844,LOC111248844,-,XP_022657593.1,342,exosome complex component RRP45-like isoform X2
Un,NW_019211454.1,34307544,34310340,+,111248844,LOC111248844,-,XP_022657603.1,342,exosome complex component RRP45-like isoform X2
Un,NW_019211454.1,34307548,34310340,+,111248844,LOC111248844,-,XP_022657587.1,352,exosome complex component RRP45-like isoform X1
Un,NW_019211454.1,34308046,34310340,+,111248844,LOC111248844,-,XP_022657610.1,336,exosome complex component RRP45-like isoform X3
Un,NW_019211454.1,34308046,34310340,+,111248844,LOC111248844,-,XP_022657620.1,336,exosome complex component RRP45-like isoform X3
Un,NW_019211454.1,34308046,34310340,+,111248844,LOC111248844,-,XP_022657629.1,336,exosome complex component RRP45-like isoform X3
Un,NW_019211454.1,34308046,34310340,+,111248844,LOC111248844,-,XP_022657640.1,336,exosome complex component RRP45-like isoform X3
Un,NW_019211454.1,34331042,34384101,+,111243050,LOC111243050,-,XP_022643806.1,387,homeobox protein aristaless-like 3 isoform X1
Un,NW_019211454.1,34331042,34384101,+,111243050,LOC111243050,-,XP_022643807.1,386,homeobox protein aristaless-like 3 isoform X2
Un,NW_019211454.1,34399926,34401358,-,111243187,LOC111243187,-,XP_022644121.1,127,13 kDa ribonucleoprotein-associated protein-like
Un,NW_019211454.1,34404275,34411825,-,111243149,LOC111243149,-,XP_022644021.1,389,ribose-phosphate pyrophosphokinase 2 isoform X2
Un,NW_019211454.1,34404275,34410825,-,111243149,LOC111243149,-,XP_022644013.1,415,ribose-phosphate pyrophosphokinase 2 isoform X1
Un,NW_019211454.1,34404275,34408780,-,111243149,LOC111243149,-,XP_022644030.1,380,ribose-phosphate pyrophosphokinase 2 isoform X3
Un,NW_019211454.1,34404275,34406709,-,111243149,LOC111243149,-,XP_022644040.1,318,ribose-phosphate pyrophosphokinase 2 isoform X4
Un,NW_019211454.1,34409170,34415277,+,111243170,LOC111243170,-,XP_022644067.1,147,uncharacterized protein LOC111243170 isoform X1
Un,NW_019211454.1,34413627,34415277,+,111243170,LOC111243170,-,XP_022644083.1,136,uncharacterized protein LOC111243170 isoform X2
Un,NW_019211454.1,34414710,34415277,+,111243170,LOC111243170,-,XP_022644092.1,132,uncharacterized protein LOC111243170 isoform X3
Un,NW_019211454.1,34414710,34415277,+,111243170,LOC111243170,-,XP_022644101.1,132,uncharacterized protein LOC111243170 isoform X3
Un,NW_019211454.1,34414710,34415277,+,111243170,LOC111243170,-,XP_022644108.1,132,uncharacterized protein LOC111243170 isoform X3
Un,NW_019211454.1,34417358,34422605,-,111243166,LOC111243166,-,XP_022644053.1,207,ganglioside GM2 activator-like
Un,NW_019211454.1,34435747,34437336,-,111242790,LOC111242790,-,XP_022643341.1,529,limb region 1 protein homolog
Un,NW_019211454.1,34476650,34488547,+,111243080,LOC111243080,-,XP_022643879.1,378,cone-rod homeobox protein-like isoform X1
Un,NW_019211454.1,34482620,34488547,+,111243080,LOC111243080,-,XP_022643880.1,303,retinal homeobox protein Rx-like isoform X2
Un,NW_019211454.1,34519876,34523027,+,111242876,LOC111242876,-,XP_022643527.1,341,mitochondrial amidoxime reducing component 2-like isoform X1
Un,NW_019211454.1,72285358,72288694,-,111250319,LOC111250319,-,XP_022661130.1,421,mannose-1-phosphate guanyltransferase alpha-B-like isoform X1
Un,NW_019211454.1,72292294,72303748,+,111250247,LOC111250247,-,XP_022660899.1,2220,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1-like isoform X1
Un,NW_019211454.1,72292294,72303748,+,111250247,LOC111250247,-,XP_022660906.1,2220,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1-like isoform X1
Un,NW_019211454.1,72292294,72303748,+,111250247,LOC111250247,-,XP_022660909.1,2207,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1-like isoform X2
Un,NW_019211454.1,72292294,72303748,+,111250247,LOC111250247,-,XP_022660920.1,2054,Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1-like isoform X3
Un,NW_019211454.1,72298976,72349634,-,111250262,LOC111250262,-,XP_022660937.1,810,otopetrin-1-like isoform X2
Un,NW_019211454.1,72299026,72349634,-,111250262,LOC111250262,-,XP_022660961.1,805,otopetrin-1-like isoform X4
Un,NW_019211454.1,72306044,72349634,-,111250262,LOC111250262,-,XP_022660952.1,809,otopetrin-1-like isoform X3
Un,NW_019211454.1,72306069,72349634,-,111250262,LOC111250262,-,XP_022660971.1,789,otopetrin-1-like isoform X5
Un,NW_019211454.1,72306481,72349634,-,111250262,LOC111250262,-,XP_022660981.1,787,otopetrin-1-like isoform X6
Un,NW_019211454.1,72306481,72349634,-,111250262,LOC111250262,-,XP_022661009.1,723,uncharacterized protein LOC111250262 isoform X8
Un,NW_019211454.1,72306481,72349634,-,111250262,LOC111250262,-,XP_022660931.1,815,uncharacterized protein LOC111250262 isoform X1
Un,NW_019211454.1,72306621,72349634,-,111250262,LOC111250262,-,XP_022660990.1,762,otopetrin-1-like isoform X7
Un,NW_019211454.1,72307300,72349634,-,111250262,LOC111250262,-,XP_022661019.1,709,uncharacterized protein LOC111250262 isoform X9
Un,NW_019211454.1,72307300,72349634,-,111250262,LOC111250262,-,XP_022661027.1,709,uncharacterized protein LOC111250262 isoform X9
Un,NW_019211454.1,72313549,72314253,-,111250349,LOC111250349,-,XP_022661199.1,234,derlin-3-like
Un,NW_019211454.1,72320981,72328418,+,111250292,LOC111250292,-,XP_022661070.1,590,uncharacterized protein LOC111250292
Un,NW_019211454.1,72521589,72536770,+,111244663,LOC111244663,-,XP_022647711.1,202,neuroglobin-like
Un,NW_019211454.1,72521589,72536770,+,111244663,LOC111244663,-,XP_022647718.1,202,neuroglobin-like
Un,NW_019211454.1,72521589,72536770,+,111244663,LOC111244663,-,XP_022647727.1,202,neuroglobin-like
Un,NW_019211454.1,72521589,72536770,+,111244663,LOC111244663,-,XP_022647736.1,202,neuroglobin-like
Un,NW_019211454.1,72521589,72536770,+,111244663,LOC111244663,-,XP_022647743.1,202,neuroglobin-like
Un,NW_019211454.1,72521589,72536770,+,111244663,LOC111244663,-,XP_022647751.1,202,neuroglobin-like
Un,NW_019211454.1,72560219,72566469,-,111251140,LOC111251140,-,XP_022663192.1,1248,protein transport protein Sec24C-like
Un,NW_019211454.1,72560219,72566469,-,111251140,LOC111251140,-,XP_022663201.1,1248,protein transport protein Sec24C-like
Un,NW_019211454.1,72560219,72566469,-,111251140,LOC111251140,-,XP_022663210.1,1248,protein transport protein Sec24C-like
Un,NW_019211454.1,72560219,72566469,-,111251140,LOC111251140,-,XP_022663220.1,1248,protein transport protein Sec24C-like
Un,NW_019211454.1,72560219,72566469,-,111251140,LOC111251140,-,XP_022663227.1,1248,protein transport protein Sec24C-like
Un,NW_019211454.1,72578213,72584482,+,111244532,LOC111244532,-,XP_022647493.1,433,equilibrative nucleoside transporter 3-like
Un,NW_019211454.1,72578213,72584482,+,111244532,LOC111244532,-,XP_022647498.1,433,equilibrative nucleoside transporter 3-like
Un,NW_019211454.1,72587450,72608310,+,111244521,LOC111244521,-,XP_022647479.1,769,uncharacterized protein LOC111244521 isoform X1
Un,NW_019211454.1,72590853,72608310,+,111244521,LOC111244521,-,XP_022647485.1,762,uncharacterized protein LOC111244521 isoform X2
